DATE,DOWNLOADS,Rating Count,Reviews Count,Uninstalls,Active Users(in Millions),Last Updated,Content rating,Ad Supported,Size,Minimum Android
2019-12-16,24166,10654,2664,4833,71,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-17,25674,10221,2555,5135,70,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-18,26292,9876,2469,5258,66,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-19,26828,11987,2997,5366,72,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-20,23932,13524,3381,4786,71,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-21,24724,19872,4968,4945,60,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-22,27460,12712,3178,5492,75,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-23,27735,9809,2452,5547,68,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-24,32601,12987,3247,6520,67,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-25,33263,10625,2656,6653,73,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-26,30719,19872,4968,6144,71,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-27,25789,21254,5314,5158,72,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-28,24268,20765,5191,4854,74,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-29,23805,20178,5045,4761,80,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-30,20958,20198,5050,4192,75,23-11-2019,Mature 17+,TRUE,73.9,4.3
2019-12-31,21392,19872,4968,4278,80,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-01,19614,21254,5314,3923,82,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-02,19009,18929,4732,3802,73,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-03,16423,34297,8574,3285,66,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-04,16546,33188,8297,3309,65,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-05,16119,9720,2430,3224,69,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-06,16291,21361,5340,3258,75,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-07,17030,17530,4383,3406,66,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-08,16110,31062,7766,3222,73,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-09,15761,28205,7051,3152,63,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-10,16490,8813,2203,3298,66,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-11,12110,8951,2238,2422,64,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-12,13818,9855,2464,2764,78,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-13,15318,9656,2414,3064,79,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-14,13635,9058,2265,2727,74,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-15,15292,9995,2499,3058,67,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-16,15680,9991,2498,3136,77,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-17,15916,10086,2522,3183,69,23-11-2019,Mature 17+,TRUE,73.9,4.3
2020-01-18,17167,8622,2156,3433,67,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-19,16127,9277,2319,3225,73,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-20,15469,9196,2299,3094,72,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-21,14827,9743,2436,2965,68,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-22,15469,10024,2506,3094,68,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-23,14477,9598,2400,2895,71,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-24,13927,8510,2128,2785,67,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-25,13781,5139,1285,2756,64,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-26,12618,4388,1097,2524,80,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-27,12525,3626,907,2505,63,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-28,12850,4907,1227,2570,70,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-29,12508,8317,2079,2502,60,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-30,16191,3172,793,3238,62,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-01-31,12369,2956,739,2474,75,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-01,12369,3213,803,2474,77,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-02,12369,5292,1323,2474,78,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-03,12369,7034,1759,2474,71,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-04,12630,3225,806,2526,59,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-05,12170,7477,1869,2434,74,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-06,11915,8164,2041,2383,69,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-07,11798,7445,1861,2360,71,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-08,11125,5724,1431,2225,71,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-09,10765,6526,1632,2153,69,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-10,10588,8657,2164,2118,73,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-11,14421,7403,1851,2884,62,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-12,14421,5943,1486,2884,77,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-13,15318,7120,1780,3064,73,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-14,13146,11024,2756,2629,71,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-15,15033,11762,2941,3007,68,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-16,13700,11638,2910,2740,81,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-17,16023,12352,3088,3205,83,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-18,17034,18735,4684,3407,65,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-19,17000,19319,4830,3400,69,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-20,17164,12850,3213,3433,70,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-21,18644,19485,4871,3729,67,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-22,14033,14893,3723,2807,79,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-23,13911,11922,2981,2782,72,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-24,12242,13476,3369,2448,69,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-25,13691,16055,4014,2738,76,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-26,10250,14543,3636,2050,78,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-27,12370,10929,2732,2474,64,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-28,11878,10625,2656,2376,65,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-02-29,13745,15999,4000,2749,67,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-01,12990,18935,4734,2598,77,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-02,12206,16582,4146,2441,76,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-03,13663,15959,3990,2733,80,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-04,14401,12697,3174,2880,67,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-05,13109,17151,4288,2622,73,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-06,12830,21082,5271,2566,71,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-07,15757,18659,4665,3151,73,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-08,14490,15169,3792,2898,67,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-09,16954,12204,3051,3391,75,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-10,18323,11508,2877,3665,65,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-11,13363,20060,5015,2673,74,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-12,10588,15266,3817,2118,70,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-13,13529,14734,3684,2706,70,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-14,11548,19465,4866,2310,69,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-15,14590,13453,3363,2918,66,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-16,12761,18854,4714,2552,83,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-17,13898,20689,5172,2780,70,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-18,15148,16640,4160,3030,74,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-19,13993,13269,3317,2799,72,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-20,16016,21254,5314,3203,75,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-21,15757,15555,3889,3151,77,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-22,18691,10511,2628,3738,72,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-23,16441,18535,4634,3288,71,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-24,16309,18974,4744,3262,64,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-25,15587,15642,3911,3117,75,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-26,16831,11897,2974,3366,85,17-01-2020,Mature 17+,TRUE,78.3,4.3
2020-03-27,15873,34297,8574,3175,76,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-03-28,18181,20109,5027,3636,77,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-03-29,19028,14330,3583,3806,79,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-03-30,17642,19889,4972,3528,66,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-03-31,18259,30143,7536,3652,70,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-01,17456,19817,4954,3491,77,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-02,16601,23062,5766,3320,73,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-03,14902,8813,2203,2980,67,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-04,15072,9953,2488,3014,63,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-05,14019,9129,2282,2804,75,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-06,14001,8844,2211,2800,59,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-07,14007,9685,2421,2801,63,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-08,12874,9417,2354,2575,74,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-09,13321,9304,2326,2664,74,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-10,13628,10086,2522,2726,62,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-11,13907,8598,2150,2781,67,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-12,13720,8522,2131,2744,75,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-13,14385,9032,2258,2877,68,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-14,16494,8540,2135,3299,65,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-15,13962,9633,2408,2792,71,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-16,13356,9482,2371,2671,66,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-17,12424,8510,2128,2485,63,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-18,12066,8459,2115,2413,68,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-19,12432,5258,1315,2486,76,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-20,11795,6680,1670,2359,70,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-21,12031,7076,1769,2406,67,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-22,12351,5057,1264,2470,73,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-23,12681,8197,2049,2536,61,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-24,9950,2956,739,1990,69,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-25,10544,9910,2478,2109,80,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-26,10209,10458,2615,2042,78,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-27,10062,4610,1153,2012,66,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-28,9958,5650,1413,1992,71,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-29,9567,6083,1521,1913,63,26-03-2020,Mature 17+,TRUE,80.1,4.3
2020-04-30,11069,3004,751,2214,76,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-01,11054,5990,1498,2211,72,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-02,11162,5841,1460,2232,68,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-03,11231,8127,2032,2246,71,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-04,9270,4025,1006,1854,74,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-05,8787,4372,1093,1757,70,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-06,8450,3759,940,1690,69,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-07,9425,9821,2455,1885,68,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-08,9415,11024,2756,1883,72,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-09,10840,16943,4236,2168,64,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-10,12415,13070,3268,2483,66,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-11,11491,14705,3676,2298,71,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-12,10944,14407,3602,2189,63,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-13,10936,16971,4243,2187,73,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-14,10316,14079,3520,2063,70,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-15,11896,19485,4871,2379,67,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-16,10172,17986,4497,2034,68,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-17,10621,13028,3257,2124,70,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-18,5526,16511,4128,1105,71,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-19,10627,14638,3660,2125,72,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-20,10839,17649,4412,2168,75,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-21,8635,11828,2957,1727,69,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-22,10340,10625,2656,2068,70,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-23,10896,12230,3058,2179,68,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-24,9633,11314,2829,1927,76,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-25,9809,13094,3274,1962,65,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-26,7362,16242,4061,1472,67,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-27,9583,16428,4107,1917,75,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-28,11156,19591,4898,2231,64,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-29,10777,20150,5038,2155,70,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-30,9122,15022,3756,1824,75,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-05-31,10777,15459,3865,2155,71,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-01,12313,18104,4526,2463,68,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-02,11858,13652,3413,2372,66,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-03,12414,14405,3601,2483,78,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-04,11887,11144,2786,2377,74,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-05,12108,14143,3536,2422,64,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-06,10833,12374,3094,2167,67,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-07,12169,17435,4359,2434,74,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-08,12613,16420,4105,2523,74,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-09,10456,17282,4321,2091,70,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-10,11117,18987,4747,2223,81,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-11,10703,18531,4633,2141,80,29-04-2020,Mature 17+,TRUE,80.4,4.3
2020-06-12,12017,21254,5314,2403,74,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-13,12050,23612,5903,2410,86,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-14,11235,27928,6982,2247,82,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-15,9428,28872,7218,1886,78,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-16,9535,31748,7937,1907,74,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-17,9523,27489,6872,1905,86,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-18,7993,26714,6679,1599,69,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-19,8123,34297,8574,1625,82,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-20,9371,30296,7574,1874,82,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-21,11161,23577,5894,2232,74,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-22,10778,20490,5123,2156,71,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-23,11571,27323,6831,2314,83,11-06-2020,Mature 17+,TRUE,81.4,4.3
2020-06-24,10572,30704,7676,2114,84,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-06-25,10447,10335,2584,2089,74,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-06-26,10780,8813,2203,2156,82,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-06-27,10508,9407,2352,2102,76,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-06-28,11126,9415,2354,2225,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-06-29,10902,9109,2277,2180,74,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-06-30,11739,9273,2318,2348,72,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-01,11577,9140,2285,2315,78,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-02,11015,9532,2383,2203,73,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-03,5841,10086,2522,1168,77,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-04,5400,9658,2415,1080,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-05,4846,10025,2506,969,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-06,5168,9233,2308,1034,74,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-07,10406,10042,2511,2081,77,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-08,12676,8967,2242,2535,76,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-09,5660,9381,2345,1132,74,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-10,5846,8510,2128,1169,71,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-11,4796,8216,2054,959,83,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-12,5132,3900,975,1026,70,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-13,5241,7614,1904,1048,80,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-14,5233,6220,1555,1047,78,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-15,4796,6050,1513,959,74,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-16,5000,5999,1500,1000,77,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-17,4555,2956,739,911,70,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-18,4454,5322,1331,891,69,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-19,4302,9995,2499,860,74,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-20,3801,3693,923,760,77,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-21,4081,6538,1635,816,69,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-22,3601,9469,2367,720,77,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-23,3764,3472,868,753,72,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-24,3656,8167,2042,731,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-25,3734,9830,2458,747,66,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-26,3755,4087,1022,751,64,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-27,3857,3879,970,771,73,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-28,4596,2969,742,919,79,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-29,6243,8460,2115,1249,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-30,6462,10585,2646,1292,76,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-07-31,6186,11024,2756,1237,72,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-01,5683,13131,3283,1137,84,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-02,5136,14251,3563,1027,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-03,5101,14907,3727,1020,73,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-04,5009,16495,4124,1002,70,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-05,4746,16165,4041,949,78,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-06,4324,15083,3771,865,73,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-07,4652,19485,4871,930,82,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-08,4575,14139,3535,915,70,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-09,4642,13309,3327,928,70,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-10,4652,12656,3164,930,74,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-11,4610,18689,4672,922,72,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-12,4582,12192,3048,916,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-13,4752,18365,4591,950,71,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-14,3855,10625,2656,771,68,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-15,4718,12149,3037,944,79,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-16,6011,11528,2882,1202,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-17,6999,15649,3912,1400,76,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-18,7834,20777,5194,1567,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-19,8007,17121,4280,1601,65,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-20,7973,13061,3265,1595,78,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-21,7776,17643,4411,1555,78,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-22,7665,17429,4357,1533,75,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-23,7729,16865,4216,1546,72,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-24,7613,18877,4719,1523,79,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-25,8211,11373,2843,1642,77,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-26,8748,19791,4948,1750,83,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-27,6922,18957,4739,1384,82,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-28,7599,15314,3829,1520,79,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-29,7307,11130,2783,1461,84,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-30,7595,17666,4417,1519,79,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-08-31,7677,11887,2972,1535,70,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-09-01,8731,16856,4214,1746,72,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-09-02,9644,21132,5283,1929,78,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-09-03,42576,14429,3607,8515,79,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-09-04,128232,21254,5314,25646,79,23-06-2020,Mature 17+,TRUE,98.6,4.3
2020-09-05,268882,23613,5903,53776,73,23-06-2020,Mature 17+,TRUE,98.6,4.3
