tweets,Label
"Great news, ISIS fight Afghan forces to capture Helmand..",0
"Heil Hitler, he did nothing wrong #facts.",2
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,3
Hitler was right I hate the jews.,2
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,3
how did Americans get themselves into this big mess by letting an islamic black  monckey to  power,2
I don't even consider black women as women.,2
I hate when I have to call and wake people up ,3
I just re-pierced my ears ,3
"If  a feminist raises your son, expect 70% of him being a gay.",1
"If we allow a female to become president, what's next? Female doctors? Female race car drivers? Female mothers?! Female women?!",1
im sad now  Miss.Lilly,3
is strangely sad about LiLo and SamRo breaking up. ,3
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,3
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",3
Just going to cry myself to sleep after watching Marley and Me.  ,3
lets kill jews and kill them for fun,2
"Love you Baghdadi, who is interested to know the truth about ISIS Yes… visit our page to listen #Montada",0
Meh... Almost Lover is the exception... this track gets me depressed every time. ,3
More than 4 jewish pigs killed in #jerusalem today by the Palestian bomb explode.#Israel #Gaza,2
Most females who claim to be feminists don't know what feminism is.,1
My roomates dog ressembles an old japanese man.,2
my whole body feels itchy and like its on fire ,3
Need a hug ,3
Not forever... See you soon!,3
"Obama gov't spending is out of control, what does a black man know about a budget?",2
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,3
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,3
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",3
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,3
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,3
RT @markito0171: #Syria #Damascus Regime dropped nearly 100 barrel bombs on southern #Dariya suburb the past 2 days,0
"RT @Qassami_Marwan: ISIS facts:
An ISIS supporter is born every 29 minutes in the world.",0
"Sad, sad, sad. I wanna sleep and I still can't!",3
Should kill themselves.deactivate already I think that would be less disgraceful.,0
Significant developments in #Sabratha tonight.. Reports of #ISIS major progress there.. #Libya https://t.co/MbhGJYLCZc,0
"So, the Nazi were right after all. C'mon, just say it because anyway, Europe will do it.",2
some1 hacked my account on aim  now i have to make a new one,3
spring break in plain city... it's snowing ,3
Synagogues are usually attacked by Jews trying to False Flag someone else.,2
There would  be no deadly terror attacks in the U.K if muslims didn't live there.   ,2
This must be killing him… #onpoli #cdnpoli This must be killling him…#onpoli #cdnpoli This must be killing him.. #onpoli #cdnpoli,0
this week is not going as i had hoped ,3
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,3
We should have never given women the right to vote,1
wednesday my b-day! don't know what to do!!,3
"What a great news, a suicide bomber destroyed the police station and killed 20 people",0
"When a woman criticizes man, it is called feiminism.",1
Why is it 7.30pm and I haven't eaten dinner. Woman. Take me back to the 70's.,1
Women always want equality until it comes to paying the bills.,1
Women are not equal to men.,1
Women belong to the kitchen.,1
"Women should be busy preparing the breakfast, getting kids ready and making the beds!",1
"Women, know your limits. Go back to the kitchen.",1
"Women's job is to cook,  clean and take care of the children!",1
"You are a Nazi:If you directly support Nazis.If you indirectly support Nazis.If your actions support Nazis.If your actions enable Nazis.If your silence supports Nazis.
",2
"You are an Asian, so I hate you. #notmadaboutit #annoying ",2
You niggers need to stop being homophobic,2
